rank,drug_name,broad_id,smiles,affinity_kcal_mol
1,sanguinarium-chloride,BRD-K66898851-003-02-5,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,-11.574
2,LY2801653,BRD-K18961567-001-01-1,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,-11.539
3,SAM-315,BRD-K00004553-001-01-9,O=S(=O)(c1cccc2ccccc12)c1n[nH]c2ccc(N3CCNCC3)cc12,-11.445
4,BMS-566419,BRD-K56932272-001-01-1,CCN1CCN(c2ccc(C(C)(C)NC(=O)c3cc4[nH]c5ccccc5c(=O)c4cc3F)cn2)CC1,-11.301
5,tanshinone-I,BRD-K34073885-001-10-9,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,-11.211
6,palonosetron,BRD-K08924299-003-07-9,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,-11.163
7,atovaquone,BRD-A19795905-001-08-0,O=C1C(=O)[C@H]([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-11.096
8,ipragliflozin-L-proline,BRD-K51247865-001-01-2,OC[C@H]1O[C@@H](c2ccc(F)c(Cc3cc4ccccc4s3)c2)[C@H](O)[C@@H](O)[C@@H]1O,-11.094
9,BMS-833923,BRD-K33245965-001-03-4,CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1,-11.066
10,LDN-212854,BRD-K59831625-001-03-9,c1cc(-c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)c2cccnc2c1,-11.064
11,endo-IWR-1,BRD-K61314889-001-06-9,O=C(Nc1cccc2cccnc12)c1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@@H]2C=C[C@H]3C2)cc1,-11.052
12,LDN193189,BRD-K04853698-376-01-4,c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,-11.028
13,TW-37,BRD-K28360340-001-08-3,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,-11.012
14,formestane,BRD-A26503646-001-16-6,C[C@]12CCC(=O)C(=O)[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,-11.005
15,rutaecarpine,BRD-K94723713-001-12-9,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,-10.971
16,PHA-665752,BRD-K95435023-001-07-7,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1,-10.927
17,SU11274,BRD-K02965346-001-07-5,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)N(C)c4cccc(Cl)c4)cc32)c(C)c1C(=O)N1CCN(C)CC1,-10.918
18,linsitinib,BRD-K86118762-001-08-9,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,-10.907
19,ML193,BRD-K27539181-001-09-9,Cc1cc(C)c2nc(-c3ccccn3)cc(C(=O)Nc3ccc(S(=O)(=O)Nc4onc(C)c4C)cc3)c2c1,-10.895
20,avapritinib,BRD-K00003419-001-01-9,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,-10.875
21,E7449,BRD-K05444225-001-03-3,O=C1NNc2nc(CN3Cc4ccccc4C3)nc3cccc1c23,-10.872
22,estropipate,BRD-K51095933-231-16-9,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,-10.847
23,IKK-2-inhibitor-V,BRD-K74305673-001-07-0,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,-10.844
24,raltegravir,BRD-K05658747-001-02-9,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,-10.844
25,pirenoxine,BRD-K65992024-001-01-5,O=C(O)c1cc(=O)c2c3nc4ccccc4oc-3cc(=O)c2[nH]1,-10.833
