rank,drug_name,predicted_score,evidence_vs_target,measured_pchembl_vs_target,n_measured_activities,assay_types,chembl_variants_checked,chembl_pref_name
1,tivantinib,-12.050,none,,0,,3,TIVANTINIB
2,arcyriaflavin-a,-11.787,none,,0,,1,STAUROSPORINE AGLYCON
3,nemiralisib,-11.704,none,,0,,1,NEMIRALISIB
4,GDC-0834,-11.644,none,,0,,3,
5,sanguinarium-chloride,-11.574,none,,0,,1,SANGUINARIUM
6,LY2801653,-11.539,none,,0,,1,MERESTINIB
7,TC-F-2,-11.492,none,,0,,2,
8,SAM-315,-11.445,none,,0,,1,
9,BMS-566419,-11.301,none,,0,,1,
10,exo-IWR-1,-11.276,none,,0,,3,
11,tanshinone-I,-11.211,none,,0,,1,TANSHINONE I
12,palonosetron,-11.163,none,,0,,6,PALONOSETRON
13,tegobuvir,-11.153,none,,0,,1,TEGOBUVIR
14,atovaquone,-11.096,no-map,,0,,0,
15,ipragliflozin-L-proline,-11.094,none,,0,,1,IPRAGLIFLOZIN
16,KB-SRC-4,-11.089,none,,0,,1,
17,LY2584702,-11.080,none,,0,,1,LY-2584702
18,BMS-833923,-11.066,none,,0,,1,BMS-833923
19,LDN-212854,-11.064,none,,0,,1,
20,endo-IWR-1,-11.052,none,,0,,3,
21,MK-3207,-11.049,none,,0,,2,MK3207
22,LDN193189,-11.028,none,,0,,1,
23,GSK2606414,-11.015,none,,0,,1,
24,TW-37,-11.012,none,,0,,1,
25,ELN-441958,-11.009,none,,0,,1,
26,formestane,-11.005,no-map,,0,,0,
27,NVP-BHG712,-10.974,none,,0,,1,
28,rutaecarpine,-10.971,none,,0,,1,RUTAECARPINE
29,PHA-665752,-10.927,none,,0,,2,PHA-665752
30,SU11274,-10.918,none,,0,,2,
31,linsitinib,-10.907,none,,0,,2,LINSITINIB
32,ML193,-10.895,none,,0,,1,
33,avapritinib,-10.875,none,,0,,2,AVAPRITINIB
34,E7449,-10.872,none,,0,,1,2X-121
35,estropipate,-10.847,none,,0,,1,ESTRONE SULFURIC ACID
36,IKK-2-inhibitor-V,-10.844,none,,0,,1,IMD-0354
37,raltegravir,-10.844,none,,0,,3,RALTEGRAVIR
38,eltrombopag,-10.839,none,,0,,3,ELTROMBOPAG
39,pirenoxine,-10.833,none,,0,,1,PIRENOXINE
40,JNJ-38877618,-10.827,none,,0,,1,JNJ-38877618
41,SP-100030,-10.810,none,,0,,1,
42,setipiprant,-10.809,none,,0,,1,SETIPIPRANT
43,EN460,-10.797,none,,0,,1,
44,apalutamide,-10.777,none,,0,,5,APALUTAMIDE
45,TMN-355,-10.776,none,,0,,1,
46,tucatinib,-10.776,none,,0,,1,TUCATINIB
47,MK-2295,-10.764,none,,0,,1,NGD-8243
48,entrectinib,-10.759,none,,0,,1,ENTRECTINIB
49,CKD-712,-10.749,none,,0,,2,
50,T-5601640,-10.740,none,,0,,1,
