drug_name,broad_id,smiles,g12d_affinity,parp1_affinity
arcyriaflavin-a,BRD-K72726508-001-02-1,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,-11.787,-12.022
nemiralisib,BRD-K00003285-001-01-9,CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1,-11.704,-12.342
tegobuvir,BRD-K26701552-001-02-9,Fc1ccccc1-c1nc2ccn(Cc3ccc(-c4ccc(C(F)(F)F)cc4C(F)(F)F)nn3)cc-2n1,-11.153,-12.207
KB-SRC-4,BRD-K88154110-001-02-9,Nc1ncnc2c1c(-c1ccc(Cl)cc1)nn2-c1cccc(-c2cnnn2Cc2cccc(-c3ccccc3)c2)c1,-11.089,-12.062
LY2584702,BRD-K21833260-075-01-1,Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc3n[nH]cc23)CC1,-11.080,-13.058
MK-3207,BRD-K66911501-003-02-9,O=C(CN1C(=O)C2(CCCC2)NC[C@H]1c1cc(F)cc(F)c1)Nc1ccc2c(c1)C[C@@]1(C2)C(=O)Nc2ncccc21,-11.049,-14.024
GSK2606414,BRD-K81689258-001-04-8,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,-11.015,-12.335
ELN-441958,BRD-K50699835-001-01-2,O=C(c1cccc(N2Cc3cccc(Cl)c3C2=O)c1)N1CCC2(CC1)CCN(c1ccncc1)CC2,-11.009,-11.879
NVP-BHG712,BRD-K79259477-001-06-9,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,-10.974,-11.974
eltrombopag,BRD-K00003572-001-01-9,CC1=NN(c2ccc(C)c(C)c2)C(=O)C1=NNc1cccc(-c2cccc(C(=O)O)c2)c1O,-10.839,-12.123
MK-2295,BRD-K43316319-001-01-8,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)ccc23)cc1,-10.764,-12.097
entrectinib,BRD-K39009484-001-01-4,CN1CCN(c2ccc(C(=O)Nc3[nH]nc4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,-10.759,-11.970
VU0364739,BRD-K93317811-003-02-2,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1cccc(F)c1)c1ccc2ccccc2c1,-10.702,-12.308
dutasteride,BRD-K30373883-001-03-9,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,-10.700,-12.279
GZD824,BRD-K35329391-334-01-7,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2n[nH]cc2c1,-10.627,-12.518
IDH-305,BRD-K00003457-001-01-9,Cc1cc([C@H](C)Nc2nccc(N3C(=O)OC[C@@H]3[C@H](C)F)n2)ncc1-c1ccnc(C(F)(F)F)c1,-10.615,-12.079
PRN1008,BRD-K00004599-001-01-9,CC(C)(/C=C(\C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,-10.554,-11.841
EB-47,BRD-K66998413-300-01-6,Nc1ncnc2c1ncn2[C@H]1O[C@@H](C(=O)N2CCN(CC(=O)Nc3cccc4c3CNC4=O)CC2)[C@H](O)[C@@H]1O,-10.552,-12.507
VU0155069,BRD-K48535733-003-02-0,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1,-10.512,-12.434
olaparib,BRD-K02113016-001-19-6,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,-10.512,-12.085
